model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Step1,"{'cmn_Hani': 0.2, 'eng_Latn': 0.17}",0.7057911157608032,16,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Step50+sbeam8,"{'cmn_Hani': 0.1, 'eng_Latn': 0.15}",0.7239105701446533,16,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Base,"{'eng_Latn': 0.27, 'cmn_Hani': 0.39}",0.7103536128997803,16,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Step1,"{'eng_Latn': 0.15, 'cmn_Hani': 0.25}",0.7345023155212402,15,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Step50+sbeam8,"{'cmn_Hani': 0.17, 'eng_Latn': 0.1}",0.7553125023841858,15,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Base,"{'cmn_Hani': 0.46, 'eng_Latn': 0.2}",0.7091068029403687,15,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Step1,"{'eng_Latn': 0.44, 'cmn_Hani': 0.1}",0.6074132919311523,17,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Step50+sbeam8,"{'cmn_Hani': 0.1, 'eng_Latn': 0.43}",0.6345329284667969,17,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Base,"{'eng_Latn': 0.46, 'cmn_Hani': 0.07}",0.6276907324790955,17,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Step1,"{'cmn_Hani': 0.23, 'eng_Latn': 0.07}",0.6772552132606506,10,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Step50+sbeam8,{'cmn_Hani': 0.16},0.7085402011871338,10,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Base,"{'cmn_Hani': 0.43, 'eng_Latn': 0.13}",0.736625611782074,10,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Step1,{'cmn_Hani': 0.99},0.8547984957695007,2,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Step50+sbeam8,{'cmn_Hani': 0.99},0.8576104640960693,2,1,1,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Base,{'cmn_Hani': 0.99},0.8723305463790894,2,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Step1,{'cmn_Hani': 0.91},0.7729384899139404,9,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Step50+sbeam8,{'cmn_Hani': 0.87},0.7894496917724609,9,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Base,{'cmn_Hani': 0.96},0.7752203941345215,9,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],kor_Hang,Step1,"{'cmn_Hani': 0.19, 'eng_Latn': 0.07}",0.6830919981002808,11,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],kor_Hang,Step50+sbeam8,{'cmn_Hani': 0.11},0.7694910764694214,11,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],kor_Hang,Base,"{'eng_Latn': 0.08, 'cmn_Hani': 0.54}",0.7164779901504517,11,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mon_Cyrl,Step1,"{'cmn_Hani': 0.18, 'eng_Latn': 0.08}",0.6555038690567017,14,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mon_Cyrl,Step50+sbeam8,"{'cmn_Hani': 0.12, 'eng_Latn': 0.07}",0.6562309265136719,14,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],mon_Cyrl,Base,"{'eng_Latn': 0.12, 'cmn_Hani': 0.39}",0.7113081812858582,14,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],hun_Latn,Step1,"{'eng_Latn': 0.42, 'cmn_Hani': 0.14}",0.6362704634666443,8,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],hun_Latn,Step50+sbeam8,"{'cmn_Hani': 0.11, 'eng_Latn': 0.44}",0.6566790342330933,8,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],hun_Latn,Base,"{'eng_Latn': 0.47, 'cmn_Hani': 0.12}",0.7246185541152954,8,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mhr_Cyrl,Step1,{'cmn_Hani': 0.08},0.7605811357498169,12,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],mhr_Cyrl,Base,"{'eng_Latn': 0.09, 'cmn_Hani': 0.38}",0.7425434589385986,12,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],fin_Latn,Step1,"{'cmn_Hani': 0.13, 'eng_Latn': 0.51}",0.6635456085205078,4,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
text2vec_cmn_Hani,['cmn_Hani'],fin_Latn,Step50+sbeam8,"{'cmn_Hani': 0.12, 'eng_Latn': 0.48}",0.649037778377533,4,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
text2vec_cmn_Hani,['cmn_Hani'],fin_Latn,Base,"{'eng_Latn': 0.54, 'cmn_Hani': 0.11}",0.6847875714302063,4,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],deu_Latn,Step1,{'deu_Latn': 0.99},0.9082691073417664,3,1,1,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],deu_Latn,Step50+sbeam8,{'deu_Latn': 1.0},0.971848726272583,3,1,1,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],deu_Latn,Base,{'deu_Latn': 1.0},0.7984641194343567,3,1,1,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],ydd_Hebr,Base,{'deu_Latn': 0.07},0.5150558948516846,19,0,1,0,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],heb_Hebr,Base,{'deu_Latn': 0.07},0.5599790215492249,6,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],amh_Ethi,Step1,"{'eng_Latn': 0.08, 'deu_Latn': 0.11}",0.7154271006584167,0,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],amh_Ethi,Step50+sbeam8,"{'deu_Latn': 0.11, 'eng_Latn': 0.1}",0.7755662202835083,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],amh_Ethi,Base,"{'deu_Latn': 0.14, 'eng_Latn': 0.11}",0.5288528203964233,0,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],mlt_Latn,Step1,"{'deu_Latn': 0.31, 'eng_Latn': 0.08}",0.4561266303062439,13,1,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],mlt_Latn,Step50+sbeam8,"{'deu_Latn': 0.35, 'eng_Latn': 0.08}",0.3914683759212494,13,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],mlt_Latn,Base,"{'deu_Latn': 0.33, 'eng_Latn': 0.07}",0.5099847316741943,13,1,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],hin_Deva,Step1,"{'deu_Latn': 0.14, 'eng_Latn': 0.22}",0.4997421503067016,7,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],hin_Deva,Step50+sbeam8,"{'deu_Latn': 0.16, 'eng_Latn': 0.19}",0.5302109122276306,7,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],hin_Deva,Base,"{'eng_Latn': 0.22, 'deu_Latn': 0.14}",0.5757045745849609,7,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],urd_Arab,Step1,"{'deu_Latn': 0.1, 'eng_Latn': 0.09}",0.5261415243148804,18,0,0,0,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],urd_Arab,Step50+sbeam8,"{'eng_Latn': 0.09, 'deu_Latn': 0.09}",0.9959036111831664,18,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],urd_Arab,Base,"{'deu_Latn': 0.12, 'eng_Latn': 0.08}",0.6007211208343506,18,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],guj_Gujr,Step1,"{'eng_Latn': 0.07, 'deu_Latn': 0.07}",0.5701545476913452,5,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],guj_Gujr,Step50+sbeam8,{'eng_Latn': 0.07},0.6720007658004761,5,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],guj_Gujr,Base,"{'eng_Latn': 0.08, 'deu_Latn': 0.09}",0.5713065266609192,5,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],sin_Sinh,Step1,"{'deu_Latn': 0.08, 'eng_Latn': 0.14}",0.6623803377151489,16,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],sin_Sinh,Step50+sbeam8,"{'deu_Latn': 0.08, 'eng_Latn': 0.14}",0.7585915923118591,16,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],sin_Sinh,Base,"{'deu_Latn': 0.1, 'eng_Latn': 0.13}",0.4966551661491394,16,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],pan_Guru,Step1,"{'eng_Latn': 0.06, 'deu_Latn': 0.06}",0.4857969582080841,15,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],pan_Guru,Step50+sbeam8,{'deu_Latn': 0.06},0.6483421325683594,15,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],pan_Guru,Base,"{'eng_Latn': 0.06, 'deu_Latn': 0.08}",0.5692157745361328,15,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],tur_Latn,Step1,"{'deu_Latn': 0.59, 'tur_Latn': 0.19}",0.6105236411094666,17,1,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],tur_Latn,Step50+sbeam8,"{'deu_Latn': 0.57, 'tur_Latn': 0.17}",0.6778723001480103,17,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],tur_Latn,Base,"{'tur_Latn': 0.33, 'deu_Latn': 0.4}",0.4832264184951782,17,1,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Step1,{'deu_Latn': 0.12},0.562464714050293,10,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Step50+sbeam8,{'deu_Latn': 0.09},0.5437872409820557,10,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Base,"{'tur_Latn': 0.16, 'deu_Latn': 0.15, 'kaz_Cyrl': 0.09}",0.6095255613327026,10,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Step1,{'deu_Latn': 0.28},0.2347506433725357,2,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Step50+sbeam8,{'deu_Latn': 0.06},0.3654881119728088,2,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Base,"{'deu_Latn': 0.51, 'eng_Latn': 0.07}",0.2785981893539428,2,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Step1,{'deu_Latn': 0.45},0.2927648425102234,9,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Step50+sbeam8,{'deu_Latn': 0.39},0.2194358706474304,9,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Base,"{'deu_Latn': 0.55, 'eng_Latn': 0.06}",0.4054755866527557,9,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],kor_Hang,Step1,{'eng_Latn': 0.07},0.686809778213501,11,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],kor_Hang,Step50+sbeam8,{'eng_Latn': 0.07},0.6970932483673096,11,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],kor_Hang,Base,"{'eng_Latn': 0.08, 'deu_Latn': 0.09}",0.5775758624076843,11,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Step1,{'deu_Latn': 0.09},0.4350439012050628,14,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Step50+sbeam8,{'deu_Latn': 0.07},0.5204485654830933,14,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Base,"{'tur_Latn': 0.12, 'eng_Latn': 0.08, 'deu_Latn': 0.1}",0.524748682975769,14,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],hun_Latn,Step1,"{'deu_Latn': 0.46, 'tur_Latn': 0.07, 'hun_Latn': 0.11}",0.4553329348564148,8,1,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],hun_Latn,Step50+sbeam8,"{'deu_Latn': 0.5, 'hun_Latn': 0.12}",0.4926136434078216,8,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],hun_Latn,Base,"{'deu_Latn': 0.42, 'hun_Latn': 0.07, 'tur_Latn': 0.11}",0.5496070981025696,8,1,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Step1,{'deu_Latn': 0.06},0.5361301898956299,12,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Base,"{'tur_Latn': 0.17, 'kaz_Cyrl': 0.11, 'deu_Latn': 0.1}",0.6098600625991821,12,0,0,1,1,0,1,0,1.0,0.0,0.0,0.0
gtr_deu_Latn,['deu_Latn'],fin_Latn,Step1,"{'deu_Latn': 0.68, 'fin_Latn': 0.16}",0.4653812646865845,4,1,0,1,1,0,1,0,0.0,0.0,1.0,0.0
gtr_deu_Latn,['deu_Latn'],fin_Latn,Step50+sbeam8,"{'deu_Latn': 0.72, 'fin_Latn': 0.15}",0.3633327186107635,4,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0
gtr_deu_Latn,['deu_Latn'],fin_Latn,Base,"{'deu_Latn': 0.6, 'fin_Latn': 0.18}",0.5197442770004272,4,1,0,1,1,0,1,0,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step1,{'deu_Latn': 0.83},0.7287217378616333,3,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step50+sbeam8,"{'deu_Latn': 0.72, 'eng_Latn': 0.06}",0.7574714422225952,3,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Base,{'deu_Latn': 0.88},0.6855134963989258,3,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step1,{'heb_Hebr': 0.99},0.4731744229793548,19,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step50+sbeam8,{'heb_Hebr': 0.98},0.4763526916503906,19,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Base,{'heb_Hebr': 0.99},0.4738279581069946,19,1,0,1,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step1,{'heb_Hebr': 1.0},0.8773176670074463,6,1,1,1,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step50+sbeam8,{'heb_Hebr': 1.0},0.9017850756645204,6,1,1,1,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Base,{'heb_Hebr': 1.0},0.8601236343383789,6,1,1,1,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step1,"{'arb_Arab': 0.64, 'heb_Hebr': 0.13, 'eng_Latn': 0.14, 'mon_Cyrl': 0.06}",0.6653864979743958,1,0,1,1,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step50+sbeam8,"{'arb_Arab': 0.61, 'heb_Hebr': 0.13, 'eng_Latn': 0.19}",0.5921531319618225,1,0,1,1,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Base,"{'arb_Arab': 0.81, 'eng_Latn': 0.13}",0.7674503326416016,1,0,1,1,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step1,"{'heb_Hebr': 0.11, 'eng_Latn': 0.2}",0.2874423861503601,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step50+sbeam8,"{'heb_Hebr': 0.12, 'eng_Latn': 0.09}",0.2635209858417511,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Base,{'eng_Latn': 0.31},0.3202823400497436,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step1,"{'tur_Latn': 0.37, 'eng_Latn': 0.13}",0.4411334097385406,13,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.17, 'tur_Latn': 0.36}",0.424919992685318,13,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Base,{'eng_Latn': 0.21},0.5443857908248901,13,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step1,"{'eng_Latn': 0.58, 'deu_Latn': 0.1, 'kaz_Cyrl': 0.06}",0.3471131920814514,7,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step50+sbeam8,"{'eng_Latn': 0.5, 'tur_Latn': 0.07, 'cmn_Hani': 0.06, 'heb_Hebr': 0.07}",0.4050508737564087,7,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Base,"{'eng_Latn': 0.52, 'mon_Cyrl': 0.33}",0.3592064976692199,7,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Step1,"{'mon_Cyrl': 0.51, 'eng_Latn': 0.07, 'cmn_Hani': 0.29, 'heb_Hebr': 0.06}",0.4024710357189178,18,0,0,1,1,0,0,1,0.0,0.0,1.0,0.0
